Headache_During_Game,Headache_After_Game,Blurred_During_Game,Blurred_After_Game,Dry_or_redeye_during_Game,Dry_or_redeye_After_Game,Double_Vision_After_Game,Double_Vision_After_Game,Light_sense_During_Game,Light_Sense_After_Game,Other_Eye_Affects,Very Good Posture,Good Posture,Fair Posture,Poor Posture,Very Poor Posture,Ok,Awful,Neck discomfort,shoulders discomfort,lower back discomfort,Hands discomfort,Wrists discomfort/pain,Fingers discomfort/blisters,Thumbs discomfort/blisters,Repetitive Strain Injury,Other causes of injuries,Motion controllers,Arcade genre,Puzzle genre,RPG genre,Sim genre,RTS genre,Driving genre,FPS genre,Platform genre,Rhythm genre,Sport genre,Other Genres,Key/Mouse controller,FF Pad,Jpad,Motion controller,Rhythm controller,Other Controllers,Gender,Years,Age,hours_per_week,Year interval
,,,Y,,,,,,,,,C,P,,,,,D Sore,D Sore,,,,,,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,M,13,18,20,2009 - 2010
,Y,,Y,,Y,,,,Y,,,,,C,P,,,B Cramp,B Cramp,B Cramp,,,,,No,,No,,,Y,,,,Y,,,,,Y,,,,,,M,17,20,45,2009 - 2010
,,,,Y,Y,,,,,,,C,P,,,,,,,,,,,D Sore,No,,No,,,,,,Y,,,,Y,Action,,Y,,,,,M,7,19,12,2009 - 2010
Y,Y,,Y,,,,,,,,,,,B,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,12,19,20,2009 - 2010
,Y,,,Y,Y,,,,,,,P,C,,,,,D Discomfort,,D Discomfort,,,,,No,,FPS/Platform,,,Y,,,,,,,,Action,Y,,Y,,,,M,15,19,16,2009 - 2010
Y,,,,,,,,,,,,,P,,,,,,,,,,,,No,,No,,,,,,,Y,,,,,Y,,,,,,M,18,20,90,2009 - 2010
,,,,Y,,,,,,,,C,P,,,,,,D Discomfort,,,A Discomfort,,,No,,No,,Y,Y,Y,,,,,,,,Y,,,Y,,,M,15,24,8,2009 - 2010
Y,Y,,,,Y,,,,,,,,,C,P,,,A Ache,,B Ache,D Ache,,,D Ache,No,,No,,Y,Y,,,,Y,,,,,Y,,,,,,F,10,19,5,2009 - 2010
Y,,,,Y,Y,,,,,,,,C,P,,,,B Stiff,B Pain,,,,,B Pain,No,,No,,Y,Y,,,,,,,,,Y,,Y,Y,,,F,5,19,20,2009 - 2010
,Y,,Y,,Y,,,,Y,,,,P,C,,,,A Pain,A Pain,A Pain,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,10,18,22,2009 - 2010
Y,,Y,,,,,,,Y,,,,,,,,,,A Ache,,,D Ache,,,No,,No,,,Y,,,,Y,,,,,,Y,,,,,M,13,19,12,2009 - 2010
,Y,,,,Y,,,,Y,,,C,,P,,,,D Ache,,,,D Ache,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,12,19,33,2009 - 2010
,Y,,,Y,Y,,,,,,,,C,P,,,,B Ache,B Ache,,B Ache,,,,No,,FPS/Platform,,,Y,,,,Y,Y,,,,Y,Y,,Y,,,F,10,18,33,2009 - 2010
,Y,,,,,,,,,,,,B,,,,,,,A Stiff,,,,A Click,No,,No,,,,,Y,,Y,,,,,Y,Y,,,,,M,12,19,15,2009 - 2010
,,,,,,,,,,,C,,,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,Y,,,,,Y,,,,,M,15,19,20,2009 - 2010
,Y,,,,Y,,,,Y,,,,B,,,,,A,,,A,A,A,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,Y,Y,,,M,15,21,14,2009 - 2010
,,,,,,,,,,Lurid Vision,,,,C,,,,B Strain,,,,,,Needed Neckbrace,No,,FPS/Driving,,,,,,,,Y,,,Action,,Y,,,,,M,19,21,33,2009 - 2010
Y,Y,Y,Y,,,Y,Y,,,,,,B,,,,,B Stiff,B Stiff,,,,,,No,,FPS,,,Y,,,,Y,,,,,Y,Y,,,,,M,19,22,16,2009 - 2010
Y,,,Y,,,,,,,,,,B,,,,,,,,,,,,No,,No,,,Y,,,,Y,,,,,,Y,,,,,M,11,19,15,2009 - 2010
,,,,,,,,,,,,,B,,,,,,,,,,,,No,,No,,,Y,,,,,,,,,,,Y,Y,,,M,15,21,20,2009 - 2010
Y,Y,,,Y,Y,,,Y,Y,,,,P,,C,,,B Ache,,B Ache,,B Stiffness,B Stiffness,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,F,15,19,85,2010 - 2011
,,,,Y,,,,,,,,,,C,P,,,,,,,,,D,No,,No,,,Y,Y,,,Y,,,,,Y,Y,,,,,M,18,21,16,2010 - 2011
,Y,,,,,,,,,,P,C,,,,,,,,,,,,,No,,Killzone2,,,,,,,Y,,,,,Y,Y,Y,,,,M,12,18,4,2010 - 2011
,,,,,,,,,,,,B,,,,,,A Pain,A Pain,,,,,,No,,No,,,,,,,Y,,,,,,Y,,,,,M,12,19,9,2010 - 2011
Y,Y,,,Y,,,,,,,,,B,,,,,,,,,,,,No,,No,,,,,,,Y,,,,,,Y,,,,,M,12,19,2,2010 - 2011
Y,Y,,,Y,,,,,,,,,P,,C,,,,,,,D,,,Yes,Concentrating up close,FPS/Plat/Driving,,,,,Y,,Y,,,,,Y,,,,,,M,14,19,12,2010 - 2011
Y,Y,,,,,,,,,,,B,,,,,,,,,,,,,No,,No,,,Y,,,,Y,,,,,Y,Y,Y,,,,M,13,19,55,2010 - 2011
Y,Y,Y,Y,Y,Y,,,,,,,P,,C,,,,D Stiff,,,D Cramp,D Sore,,,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,M,18,24,40,2010 - 2011
Y,,,,,,,,,,,,,P,C,,,,D Discomfort,,,,,,,No,,FPS,,,Y,Y,,,,,Y,,,Y,Y,,Y,Y,,F,12,18,40,2010 - 2011
,,,,Y,Y,,,,,,,B,,,,,,,A Ache,,,A Ache,,A Sore,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,M,12,19,21,2010 - 2011
Y,,,Y,,Y,,Y,,Y,,,,,P,,,,B Ache,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,11,18,85,2010 - 2011
,,,,,,,,,,,,B,,,,,,A Pain,,,,,,,No,,FPS,,,Y,,,,Y,,,,,Y,Y,,,,,M,10,18,33,2010 - 2011
Y,Y,,,Y,Y,,,,Y,,,C,,,P,,,,,,A Blister,,,B Sore,No,,No,,,Y,,,,,Y,,,Adventure,,Y,,Y,,Handheld,M,16,18,10,2010 - 2011
Y,,,,,,,,,,,,P,C,,,,,,D,D Ache,,,,,No,,No,,,,,,Y,Y,,,,,,Y,,,,,M,12,19,8,2010 - 2011
,,,,,,,,,Y,,,P,C,,,,,,,D Pain,,,,,No,,No,,,Y,,,,Y,,,,,,Y,,,,,M,12,18,12,2010 - 2011
Y,Y,Y,Y,,,,,,,Migranes/Glasses,,C,P,,,,,,A Pain,,,,,,No,,No,,,Y,,Y,Y,,,,,,,,Y,,,,M,11,22,18,2010 - 2011
,Y,,,,,,,,,,P,C,,,,,,D Ache,D Ache,,,D Discomfort,,,No,,No,,,,,Y,,Y,,,,,Y,,Y,,,,M,17,21,15,2010 - 2011
Y,,,,Y,,,,,,,,,P,C,,,,D,,A,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,10,18,40,2010 - 2011
,Y,Y,,,Y,,,,Y,,,B,,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,Y,,,M,12,18,4,2010 - 2011
,,,,,,,,,,,,,C,,,,,,,,,,,D Cramp,No,,No,,,Y,,,,,Y,,,3P Adventure,,,,,,PS3,M,13,19,4,2010 - 2011
,,,,Y,Y,,,Y,Y,,,,B,,,,,B Pain,,B Pain,,,D Discomfort,,No,,No,Y,,,,,Y,Y,,,,,Y,Y,,,,,M,15,19,3,2010 - 2011
,,,,,,,,,,,,,P,C,,,,A Pain,A Pain,A Pain,,,,,No,,No,,,Y,Y,,,,Y,,,,Y,Y,,,,,F,13,18,20,2010 - 2011
,,,,,,,,,,,,,,B,,,,,,,,D Ache,,D Ache,No,,No,,,Y,,Y,,,,,Y,,Y,Y,,,,,M,15,19,15,2010 - 2011
,,,,,,,,,Y,,,P,C,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,11,19,8,2010 - 2011
,,,,,,,,,,,,P,C,,,,,D Ache,,,,,,,No,,No,,,Y,,,,,,,,,,Y,,,,,M,11,18,7,2010 - 2011
,,,Y,,,,,,Y,,P,,C,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,Y,,,M,12,20,10,2010 - 2011
,,,,,Y,,,,Y,,,,C,,P,,,,,,,,D Stiff,,No,,No,,,Y,,,,,,,,,,Y,,,,,M,13,19,25,2010 - 2011
Y,Y,Y,,,,Y,Y,Y,Y,,,C,P,,,,,,,,A Cramp,A Numb,D Strain,,No,,No,,Y,,,Y,,Y,,,,,Y,Y,,Y,,,M,16,19,55,2010 - 2011
,,,,,Y,,,,,,,,P,,,,,D Stiff,,,,,D Sore,,No,,No,,Y,,,,,,Y,,,,,Y,,,,,M,15,22,9,2010 - 2011
,Y,,,,Y,,,,,,,P,C,,,,,A Stiff,,,,,,,No,,No,,,,,,Y,Y,,,,,,,Y,,,,M,10,18,14,2010 - 2011
,,,,,,,,,,,,,P,C,,,,,,,,,,,No,,No,,,Y,,,,,,,,,Y,,,,,,M,12,19,10,2010 - 2011
,Y,,,,,,,,,,,B,,,,,,,,,,,A Numb,,No,,No,,,Y,,,,Y,,,,,Y,,,,,,M,15,20,8,2010 - 2011
,,,,,,,,,,,,,P,C,,,,,,,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,Y,,,,M,15,19,25,2010 - 2011
Y,,,,,,,,,,,,,,B,,,,,,A Pain,,,,,No,,No,,,,,,,,,,,MMORPG,Y,,,,,,M,18,20,44,2010 - 2011
Y,,,,,Y,,,,,,,,P,C,,,,,A,,,,,,No,,No,,,,,,,Y,,,,,Y,Y,,,,,M,15,20,55,2010 - 2011
Y,,,,,,,,,,,,,C,,P,,,D Sore,,D Sore,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,13,25,49,2010 - 2011
,Y,,Y,Y,,Y,,,Y,,,B,,,,,,D Stiff,D Stiff,B Stiff,D Stiff,B Stiff,B Ache,D Numbness,No,,No,,,,,,,Y,,,,,,Y,,,,,M,15,20,21,2010 - 2011
,Y,,,,,,,,Y,,,C,,P,,,,,,,,,,A Pain,No,,No,,,Y,,Y,,Y,,,,Y,Y,Y,,,,,M,14,20,50,2010 - 2011
Y,,,Y,,,,,,,,,,C,,,,,,,,,,,A Cramp,No,,No,,,,,,,Y,,,Y,,,Y,,,,,M,13,20,10,2010 - 2011
,,,,,,,,,,,B,,,,,,,,,,,,D Discomfort,,No,,No,,,Y,,,,Y,,,Y,,Y,Y,,,,,M,12,19,19,2010 - 2011
,,,,Y,Y,,,,Y,,,,,,B,,,B Pain,B Pain,B Pain,,,,,Yes,RSI,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,15,23,8,2010 - 2011
,,,,,Y,,,,,,P,C,,,,,,A,A,,,,B Ache,B Ache,No,,Doom,,Y,Y,,,,Y,Y,,,Fighting,Y,Y,,,,,F,14,19,55,2010 - 2011
Y,Y,,,,,,,,,,,,B,,,,,,,,,,,,No,,FPS,,,Y,,Y,,Y,Y,,Y,,Y,Y,Y,Y,Y,,M,20,26,15,2010 - 2011
,Y,,,,,,,,,,C,P,,,,,,D Ache,D Ache,Previous Issue,D Cramp,,,,Yes,Checkout,FPS,,,Y,,,,,,,,Pen & Paper,Y,Y,,,,,M,14,19,20,2010 - 2011
Y,Y,,,Y,,,,,,,,,,B,,,,,,,,,D Blisters,D Blisters,No,,No,,,,,,,Y,,,,,,Y,,,,,M,11,19,3,2011 - 2012
Y,Y,,Y,Y,Y,,Y,,Y,,,,P,,C,,,B Stiff,B Stiff,B Pain,,B Click,,,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,M,12,18,20,2011 - 2012
,,,,,Y,,,Y,,,,,B,,,,,B Stiff,,,A Strain,,D Pain,,No,,No,,,,,,,Y,Y,,,,,Y,,Y,,,M,15,19,6,2011 - 2012
,,,,Y,,,,,Y,,,,B,,,,,D Discomfort,,D Discomfort,,,,,No,,No,,Y,Y,,,,Y,,,,,,,Y,,,,M,15,22,37,2011 - 2012
Y,,,,,,,,,,,P,,C,,,,,,D Pain,,D Pain,,,,No,,FPS,,,Y,,,,Y,,Y,,,Y,Y,,,Y,,F,12,19,-,2011 - 2012
Y,,,,,,,,,,,,P,C,,,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,,,,,,,M,12,19,-,2011 - 2012
,,,,,,,,,,,,,C,P,,,,A Ache,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,15,20,20,2011 - 2012
Y,,,,,,Y,,,,,,,,,B,,,,,D Pain,,D Pain,B Numb,,No,,No,,,Y,,,,Y,,,,,Y,Y,,,,,F,13,19,45,2011 - 2012
Y,Y,,Y,,Y,,,,,,C,,,,,,,A,,,A,A,,,No,,FPS,Y,,,,,Y,Y,Y,,,,Y,Y,,,,,M,2,25,6,2011 - 2012
Y,Y,Y,Y,Y,Y,,,,,,,C,,,,,,B Stiff,B Stiff,B Stiff,,,,B Stiff,No,,FPS/Driving,,,Y,,,,Y,Y,,,,,Y,,,,,M,9,19,7,2011 - 2012
,,Y,,,,,,,,,,,P,C,,,,D Discomfort,,,,,,B Blisters,No,,No,,,,,,Y,Y,,,,,,,Y,,,,M,14,18,20,2011 - 2012
,Y,,Y,,,,,,,,,C,P,,,,,D Discomfort,,A Pain,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,12,20,6,2011 - 2012
,,,Y,Y,,,,,,,,,C,P,,,,,,B Pain,,,,D Ache,No,,No,,,Y,,Y,,Y,,,,Action,Y,,,,,,M,15,20,55,2011 - 2012
Y,Y,,,,,,,,,,,P,C,,,,,,,,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,11,19,-,2011 - 2012
,,,Y,Y,,,,,,,B,,,,,,,D Discomfort,,,,D Pain,,,No,,No,,,Y,,Y,,,,,,,Y,,,,,,M,15,24,20,2011 - 2012
,,,,,,Y,,,,,,,B,,,,,A Sore,A Sore,,,,,,No,,No,,,,,,,,Y,,,,,Y,,,,,M,15,23,2,2011 - 2012
,,,,,,,,,,,,P,C,,,,,,,,D Stiff,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,,,,,M,15,20,40,2011 - 2012
,,,,,,,,,,,,,,,B,,,,,,,B Pain,B Pain,,No,,No,,,,,,Y,Y,,,Y,,Y,Y,,,Y,,M,8,19,20,2011 - 2012
,Y,,Y,,,,,,Y,,,,B,,,,,,D Discomfort,,,,,D Blisters,No,,FPS,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,17,21,13,2011 - 2012
Y,,,,Y,,,,,,,,,P,,C,,,,B Ache,B Ache,,,,,No,,Platform,,,Y,,,,,,,,,Y,,,,,,M,14,19,44,2011 - 2012
,,,,,,,,,,,,,B,,,,,,D Discomfort,,D Cold,,,,No,,No,,,Y,,,,,,,,,Y,Y,,,,,F,7,18,5,2011 - 2012
,Y,,,,Y,,,,,,,,B,,,,,,,,,,,,No,,No,,,,,Y,,,,,,,Y,Y,,,,,M,13,19,15,2011 - 2012
,,,,Y,,,,,,,,C,P,,,,,,,,,,,D Strain,No,,No,,,Y,,,,Y,Y,,,,,Y,,,,,M,13,18,1,2011 - 2012
,Y,Y,,,,,,,,,,,,C,P,,,B Ache,B Ache,B Ache,,,,,No,,No,,Y,Y,,,,Y,,,,,Y,Y,,,,,F,13,18,35,2011 - 2012
,,,,Y,,,,,,,,,B,,,,,D Discomfort,,,,,,,No,,No,,,Y,,,,,,,,,Y,Y,,,,,M,10,20,18,2011 - 2012
,,,,,Y,,,,,,,P,C,,,,,,B Pain,B Pain,,,,,No,,No,,,Y,,,,Y,,,,,,Y,,,,,M,10,19,22,2011 - 2012
Y,Y,,Y,,Y,,,,Y,,,,P,C,,,,,,D Pain,,,D Numb,,No,,FPS,,,Y,,,,Y,,,,,Y,,,,,,M,9,19,32,2011 - 2012
Y,,,,,,,,,,Throw-up,,,B,,,,,,,,,A  Damage,,,No,,No,,,,,Y,,,,,,,Y,Y,,,,,F,16,22,2,2011 - 2012
Y,Y,,,Y,Y,,,,,,,,,B,,,,,B,,D,D,,,Yes,Sport,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,12,19,15,2011 - 2012
Y,Y,,,Y,Y,,,,,,,,P,C,,,,B,B Ache,B,,,D Sore,,No,,No,,,Y,,,,,,,Y,,,Y,,,,,M,12,18,18,2011 - 2012
,Y,,,Y,Y,,,,,,,B,,,,,,D Discomfort,,,,,,,No,,No,,,,Y,,Y,Y,,,,,Y,Y,Y,,,,M,10,19,12,2011 - 2012
Y,Y,,,,,,,,Y,,,,B,,,,,D Stiff,,B Pain,,,,,No,,No,,,Y,,,,,,,,,,Y,,,,,M,16,19,12,2011 - 2012
,,,,,,,,,,,,P,,C,,,,,,,,,D Ache,,No,,No,,,,,,Y,Y,Y,,,Fighting,Y,,,,,,M,16,19,25,2011 - 2012
,,,,,,,,,,,,P,,C,,,,A Stiff,,,,,,,No,,No,,,Y,,,,,,,,,Y,,,,,,F,12,19,22,2011 - 2012
Y,Y,Y,,,,,,,,,,P,,,C,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,Y,,,,M,12,18,15,2011 - 2012
,,,,,,,,,,,,,B,,,,,,,,D Ache,,,D Ache,No,,FPS,,,Y,,,,Y,,,,,Y,,,,,,F,6,18,3,2011 - 2012
,Y,Y,Y,,Y,Y,Y,Y,Y,,,P,C,,,,,A Stiff,,,D Stiff,,,,No,,No,,,,,,,,Y,,,,,Y,,,,,M,18,23,9,2011 - 2012
Y,Y,,,,,,,,,,,,C,,,,,,,D Discomfort,,,,D Discomfort,No,,No,Y,,Y,,,,,Y,,,,,Y,,Y,,,M,10,19,8,2011 - 2012
,,,,,Y,,,,,,,,B,,,,,,,,,D Sore,,,No,,No,,,Y,,Y,,Y,,,,,Y,,Y,,,,M,15,20,24,2011 - 2012
Y,,,,,,,,,Y,,,P,C,,,,,,,,,B Carpal,,,No,,No,,,,,Y,,Y,,,,Turn-Strategy,Y,Y,,,,,M,15,19,24,2011 - 2012
Y,,,,,,,Y,,Y,,,B,,,,,,D,,B,,A,B,B,No,,No,,,,,,,,Y,,,,,Y,,,,,M,15,19,8,2011 - 2012
Y,Y,,,,,,,,,,,,,B,,,,,,A,,,D,,No,,No,,,Y,Y,,,,,,,,,Y,,,,Handheld,M,15,20,9,2011 - 2012
,Y,,,,,,,,,,,C,P,,,,,,,D Sore,,,A Blisters,A Blisters,No,,No,,,Y,,,,Y,,,Y,,Y,Y,,,,,M,11,19,30,2011 - 2012
Y,,Y,,,,,,,,,,C,,P,,,,,,D Pain,,,,,No,,No,,,Y,,,,Y,,,,,Y,Y,,Y,,,M,14,19,25,2011 - 2012
Y,,Y,,,Y,,,,,,,,C,,,,,A,A Sore,B,,D,,,No,,No,Y,,,,,,,Y,,,Fighting,,,Y,,,,M,17,20,3,2011 - 2012
Y,Y,,Y,Y,Y,,,,Y,,,,B,,,,,B Ache,B Ache,B Pain,,B Pain,A Blisters,B Stiff,No,,FPS/Driving,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,15,21,28,2011 - 2012
,Y,,Y,Y,Y,,,Y,Y,,,,,,B,,,B Ache,B Ache,B Ache,,,,,No,,No,,,,Y,Y,,Y,,,,,,Y,,,,,M,9,20,24,2011 - 2012
,,,,,Y,,,,,,,P,C,,,,,,,,,,,,No,,No,,,,,,,,,,,,Y,,Y,,,,M,8,22,5,2011 - 2012
,,Y,,Y,,,,,,,,P,,,,,,,,,,D Numb,D Numb,,No,,No,,,,,,,Y,,,,,Y,,,,,,M,11,19,4,2011 - 2012
,Y,,,,,,,,Y,,,C,P,,,,,,,,,D Numb,,,No,,No,,,Y,,,,,,,,,Y,,,,,,M,15,18,12,2011 - 2012
Y,Y,,Y,Y,,,,,Y,,,,C,P,,,,D Discomfort,,D Pain,,,D Pain,,No,,No,,,Y,,,,Y,,,,MMO,Y,Y,,,,,M,10,18,20,2011 - 2012
,Y,Y,Y,,,,Y,,Y,,,,P,C,,,,,,,D Numb,,,A Blisters,No,,No,,Y,,,Y,,Y,,,,,Y,,Y,,,,M,15,23,20,2011 - 2012
,Y,Y,Y,,,,,Y,Y,,,,P,,C,,,A Sore,,,D,,D Numb,,No,,No,,Y,Y,Y,,,,,,,,Y,,Y,,,,F,12,19,65,2011 - 2012
Y,Y,,,Y,Y,,,Y,Y,,,,B,,,,,B Ache,A Ache,,,,,,No,,No,,,Y,,,Y,,,,,,Y,Y,,,,,F,7,19,10,2011 - 2012
Y,,,,,,,,,,,,,B,,,,,,D Stiff,,,,,,No,,No,,Y,Y,Y,Y,,,,,,,,,,Y,,,F,14,22,6,2011 - 2012
,,,Y,Y,Y,Y,Y,,,,,,,C,P,,,D,A,D,D,D,,B,No,,No,,,Y,,,,,Y,,,,Y,Y,Y,,,,M,13,19,30,2011 - 2012
,Y,,,Y,,,,,,,,,P,,,,,,,B Stiff,,,,,No,,No,,,Y,,,,Y,,,,,Y,,,,,,M,14,20,27,2011 - 2012
Y,,Y,,,,,,,,,,C,P,,,,,,,,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,Y,,,M,16,21,16,2011 - 2012
,,,,Y,,,,,Y,,P,,,,,,,,,,,,,,No,,No,,,Y,,,Y,Y,,,,,Y,,Y,,,,M,17,21,25,2011 - 2012
,Y,Y,,,Y,,,,,,,P,,C,,,,A,,,,,,A,No,,No,Y,,,Y,,Y,,,,,,Y,,Y,,,,F,14,22,5,2011 - 2012
Y,Y,,,Y,Y,,,,,Shakey,P,,,C,,,,,,B Pain,,,,B Numb,No,,No,,,Y,Y,,,,,,,,Y,,Y,,,,F,15,19,0,2011 - 2012
Y,Y,Y,Y,Y,Y,,,Y,,,,,B,,,,,B Ache,B Ache,,,,,,No,,FPS,,,Y,,,,,,,,,Y,,,Y,,,F,7,18,0,2011 - 2012
Y,Y,,,Y,Y,,,,,,,,B,,,,,B Ache,D Ache,B Ache,,,,,No,,No,,Y,Y,,,,,Y,,,,Y,,Y,,,,F,10,18,10,2011 - 2012
,,,,,,,,Y,,,,,P,,,,,,,,D,,,,No,,No,,,Y,Y,,,Y,,,,,Y,,,,,,M,23,22,65,2011 - 2012
,,,,,,,,,,,,,B,,,,,,,,,,,,No,,No,,,,,,,,,,Y,,,Y,,,,,M,7,18,7,2011 - 2012
,,,,,,,,,,,,,,B,,,,D Ache,D Ache,D Ache,,,,,No,,No,,,Y,,Y,,,,,,,Y,Y,,,,,M,17,21,35,2011 - 2012
,Y,Y,,,Y,,,,,,,,,P,C,,,D Stiff,,,D Stiff,,,,No,,No,,,Y,,,,Y,,,,,Y,,Y,,,,M,12,19,12,2011 - 2012
,,Y,,,Y,,,,,,C,,P,,,,,D Stiff,D Stiff,,,,,A Blisters,No,,No,,,Y,Y,,,,Y,,,,Y,Y,,,,,F,16,21,12,2011 - 2012
,,,Y,,,,,,,,,B,,,,,,,,,,,,,No,,No,,,Y,,,,,Y,Y,,,Y,Y,,Y,Y,,M,16,22,10,2011 - 2012
,Y,,,,,,,,,,,C,P,,,,,A,,,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,18,23,16,2011 - 2012
,,,,,,,,,,,C,,,P,,,,,,,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,Y,,,,,M,15,19,20,2011 - 2012
,,,,,,,,,,,,C,,P,,,,B Stiff,,,,,B Sore/ Blisters,B Sore/ Blisters,No,,Fighting,,,Y,,,,,,Y,,,Y,Y,,,,,F,12,20,10,2011 - 2012
,Y,,,,,,,,,,,,P,,C,,,,,,,,,,No,,No,,,Y,,Y,,Y,,,,,Y,,Y,,,,M,16,20,5,2011 - 2012
,,,,Y,Y,,,,,,,P,,,,,,,,,,,D,,No,,No,,,Y,,,,,Y,Y,,,Y,,,,,,M,12,19,10,2011 - 2012
,,,,Y,,,,,,,,B,,,,,,,D,,,,,,No,,No,,,Y,,Y,,Y,,,,,,Y,,,,,F,4,19,3,2011 - 2012
Y,Y,Y,,,,,,,,,,C,,P,,,,D Stiff,,,,,,,No,,FPS/Platform,,Y,Y,,Y,,,,,,,Y,,,Y,,,F,17,19,21,2011 - 2012
Y,,,,,Y,,,,,,,C,P,,,,,,,,,D Discomfort,D Pain,,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,Y,,M,12,18,55,2011 - 2012
Y,,Y,,Y,Y,Y,,,,Dry contacts,,,B,,,,,D Stiff,D Ache,,,,D Stiff,,No,,No,,,Y,,Y,,,Y,,,,Y,Y,,,,,M,20,24,16,2011 - 2012
,Y,,,,Y,,,,,,,,,,B,,,,,,D Pain,,D Ache,,No,,No,,,Y,,,,Y,,,,,,Y,,,,,M,12,18,2,2011 - 2012
,,,,,,,,,,,,B,,,,,,,,,,,D Pain,D Pain,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,17,19,30,2011 - 2012
Y,Y,Y,Y,Y,Y,,,Y,Y,,,,B,,,,,B Strain,,,,A Strain,,,No,,No,,,Y,,,,Y,,,,,Y,,,,,,M,15,22,72,2011 - 2012
Y,Y,,,,,,,,,,,,,,B,,,,,,D Pins Needles,,D Pins Needles,,No,,No,,,Y,,,,Y,y,,,,Y,Y,,,,,M,19,23,35,2011 - 2012
,Y,,Y,,Y,,,,,,,P,C,,,,,D Stiff,D Stiff,,,,,,No,,No,Y,,Y,,,,Y,,,,,,Y,,,,,M,15,33,12,2011 - 2012
,,Y,Y,Y,,,,,,,,B,,,,,,,,,,,,,No,,No,,,Y,,Y,,,,,,Sandbox,Y,Y,,,,,M,14,19,35,2011 - 2012
Y,Y,,,,,,,,,,C,,P,,,,,,,B,,,,,No,,No,,,RY,,,,,,,,,Y,,,,,,M,12,20,55,2011 - 2012
,,,,,,,,,,,,,B,,,,,,,,,,B Sore,,No,,FPS,,,,,,,,Y,,,,,,Y,,,,M,13,25,2,2011 - 2012
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Everything wrong colour,,,C,P,,,,B Sore,B Sore,B Sore,D Strain,D Strain,D Strain,,No,,FPS/Fighting,,,,,,,Y,,,,,Y,,,,,,M,5,18,30,2011 - 2012
Y,Y,,,Y,Y,,,,Y,,,B,,,,,,,,,B PaIn,,,,No,,No,,Y,Y,,,,Y,,,,,Y,Y,,,,,M,12,18,24,2011 - 2012
,Y,,,Y,Y,,,,,,,C,P,,,,,A Pian,,,,B Pain,,D Pain,No,,No,,,Y,,Y,,Y,,,,,Y,Y,,,,,M,14,18,16,2011 - 2012
,,,,,,,,,,,,C,P,,,,,,,,,,,,No,,No,,,Y,,,,Y,Y,,,,Y,,,Y,,,M,11,19,18,2011 - 2012
Y,,Y,,,,,,,,,,,,B,,,,D Ache,,D Ache,,B RSI,,,Yes,Typing,No,,,Y,,,,Y,,,,,Y,Y,Y,Y,,,M,13,18,45,2011 - 2012
,,Y,Y,,,,,,,,,,B,,,,,,,,,,,,No,,No,,,,,,Y,Y,,,Y,,,,Y,,,,M,7,21,12,2011 - 2012
Y,Y,,,,,,,,,,,,C,P,,,,,,B Pain,,,,,No,,No,,,,Y,Y,,Y,,,,,Y,Y,,,,,M,13,18,14,2011 - 2012
,Y,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,No,,No,,,,,Y,,Y,Y,,,,,,Y,,,,M,9,20,10,2011 - 2012
